trial,RT,response,correct,tPos,cPos,catch,tGen,tCon,cCon,dPed,tImg,cImg,blockTrial
29,0.51255,10,1,4,4,0,0,2,2,0.35,NaN,NaN,13
30,0.32677,10,1,2,2,0,0,1,1,0.2,NaN,NaN,14
31,0.53108,10,1,4,4,0,0,2,2,0.35,NaN,NaN,15
32,0.32716,9,1,3,3,0,0,1,1,0.2,NaN,NaN,16
33,0.52563,10,0,2,2,0,0,3,3,0.2,NaN,NaN,1
34,0.53387,9,1,1,1,0,0,1,1,0.14167,NaN,NaN,2
35,0.40217,9,0,1,1,0,0,1,1,0.17083,NaN,NaN,3
36,1.0045,9,1,3,4,1,0,3,3,0.2,NaN,NaN,4
37,0.70082,10,1,3,3,0,0,3,3,0.2,NaN,NaN,5
38,0.60314,10,1,4,4,0,0,3,3,0.17083,NaN,NaN,6
39,0.5255,9,1,2,2,0,0,3,3,0.17083,NaN,NaN,7
40,0.37589,9,1,4,4,0,0,3,3,0.17083,NaN,NaN,8
41,0.45018,10,1,4,4,0,0,3,3,0.2,NaN,NaN,9
42,0.86646,10,1,2,2,0,0,3,3,0.2,NaN,NaN,10
43,0.50873,10,1,3,3,0,0,3,3,0.2,NaN,NaN,11
44,0.75502,10,1,1,1,0,0,1,1,0.14167,NaN,NaN,12
45,0.98132,10,0,4,4,0,0,3,3,0.17083,NaN,NaN,13
46,0.49168,9,1,1,1,0,0,1,1,0.18542,NaN,NaN,14
47,0.55791,10,1,2,2,0,0,3,3,0.14167,NaN,NaN,15
48,0.71404,10,0,3,3,0,0,3,3,0.18542,NaN,NaN,16
49,0.66835,9,1,4,4,0,0,2,2,0.35,NaN,NaN,1
50,0.76868,10,1,2,2,0,0,3,3,0.2,NaN,NaN,2
51,0.64509,9,1,3,3,0,0,3,3,0.2,NaN,NaN,3
52,0.40543,10,0,2,2,0,0,3,3,0.14167,NaN,NaN,4
53,0.3097,9,1,1,1,0,0,1,1,0.18542,NaN,NaN,5
54,0.40409,9,1,4,4,0,0,2,2,0.35,NaN,NaN,6
55,0.75636,10,0,3,3,0,0,3,3,0.15625,NaN,NaN,7
56,0.5786,9,1,1,1,0,0,1,1,0.1125,NaN,NaN,8
57,0.51491,10,1,4,4,0,0,2,2,0.2,NaN,NaN,9
58,0.39723,10,1,3,4,1,0,3,2,0.17083,NaN,NaN,10
59,1.0095,10,1,4,4,0,0,2,2,0.2,NaN,NaN,11
60,0.66781,10,1,1,1,0,0,1,1,0.18542,NaN,NaN,12
61,1.012,9,0,3,3,0,0,3,3,0.2,NaN,NaN,13
62,0.87438,10,1,2,2,0,0,3,3,0.17083,NaN,NaN,14
63,0.70275,10,1,1,1,0,0,1,1,0.1125,NaN,NaN,15
64,0.69496,9,1,2,2,0,0,1,1,0.2,NaN,NaN,16
65,0.8272,10,1,4,4,0,0,3,3,0.2,NaN,NaN,1
66,0.31756,9,1,2,2,0,0,1,1,0.17813,NaN,NaN,2
67,0.71168,9,1,4,4,0,0,3,3,0.2,NaN,NaN,3
68,0.94006,10,1,4,4,0,0,3,3,0.2,NaN,NaN,4
69,0.70425,10,1,3,3,0,0,1,1,0.1125,NaN,NaN,5
70,0.34662,9,1,3,3,0,0,1,1,0.17813,NaN,NaN,6
71,0.51288,9,1,2,2,0,0,1,1,0.083333,NaN,NaN,7
72,0.43512,10,1,2,2,0,0,1,1,0.17813,NaN,NaN,8
73,0.38133,9,1,4,4,0,0,3,3,0.2,NaN,NaN,9
74,0.38176,10,1,1,1,0,0,3,3,0.083333,NaN,NaN,10
75,0.26601,9,1,1,1,0,0,3,3,0.17083,NaN,NaN,11
76,0.64041,9,1,3,3,0,0,1,1,0.083333,NaN,NaN,12
77,0.35071,10,1,2,2,0,0,1,1,0.025,NaN,NaN,13
78,0.59518,10,0,1,1,0,0,3,3,0.025,NaN,NaN,14
79,0.54527,10,1,3,3,0,0,1,1,0.17083,NaN,NaN,15
80,0.45769,10,1,1,1,0,0,3,3,0.17083,NaN,NaN,16
81,0.67798,10,0,3,3,0,0,1,1,0.083333,NaN,NaN,1
82,0.6364,9,1,3,3,0,0,1,1,0.083333,NaN,NaN,2
83,0.89266,9,1,4,4,0,0,2,2,0.17083,NaN,NaN,3
84,0.633,10,1,3,3,0,0,1,1,0.083333,NaN,NaN,4
85,0.69334,10,1,3,3,0,0,1,1,0.14167,NaN,NaN,5
86,0.73352,10,1,1,1,0,0,3,3,0.2,NaN,NaN,6
87,0.79777,10,0,4,4,0,0,2,2,0.2,NaN,NaN,7
88,0.40415,9,1,1,1,0,0,3,3,0.16354,NaN,NaN,8
89,0.87643,10,0,2,2,0,0,1,1,0.083333,NaN,NaN,9
90,0.75082,10,1,4,4,0,0,2,2,0.2,NaN,NaN,10
91,0.63912,10,1,2,2,0,0,1,1,0.14167,NaN,NaN,11
92,0.42525,9,1,1,1,0,0,3,3,0.2,NaN,NaN,12
93,0.55553,10,1,4,4,0,0,2,2,0.16354,NaN,NaN,13
94,0.33368,10,1,1,4,1,0,3,2,0.16354,NaN,NaN,14
95,0.53396,9,0,2,2,0,0,1,1,0.14167,NaN,NaN,15
96,0.52823,9,1,2,2,0,0,3,3,0.2,NaN,NaN,16
97,0.96844,10,0,2,2,0,0,3,3,0.054167,NaN,NaN,1
98,0.79668,9,1,3,3,0,0,3,3,0.15625,NaN,NaN,2
99,0.64893,10,1,1,1,0,0,1,1,0.15625,NaN,NaN,3
100,0.40323,9,1,2,2,0,0,3,3,0.15625,NaN,NaN,4
101,NaN,NaN,NaN,2,2,0,0,3,3,0.083333,NaN,NaN,5
102,0.5055,10,0,1,1,0,0,1,1,0.2,NaN,NaN,6
103,0.29202,9,1,1,1,0,0,1,1,0.15625,NaN,NaN,7
104,0.51022,10,1,3,3,0,0,3,3,0.15625,NaN,NaN,8
105,0.51065,10,1,3,3,0,0,3,3,0.083333,NaN,NaN,9
106,0.49689,10,0,3,3,0,0,3,3,0.083333,NaN,NaN,10
107,0.56527,10,1,1,1,0,0,1,1,0.2,NaN,NaN,11
108,0.71155,9,0,4,4,0,0,3,3,0.15625,NaN,NaN,12
109,0.41785,9,1,4,4,0,0,3,3,0.1599,NaN,NaN,13
110,0.55997,10,1,2,2,0,0,3,3,0.12708,NaN,NaN,14
111,0.4103,9,1,4,4,0,0,3,3,0.2,NaN,NaN,15
112,0.86265,10,1,4,4,0,0,2,2,0.2,NaN,NaN,16
