trial,RT,response,correct,tPos,cPos,catch,tGen,tCon,cCon,dPed,tImg,cImg,blockTrial
51,0.54118,10,0,3,3,0,0,1,1,0.06875,NaN,NaN,3
52,0.4414,10,1,2,2,0,0,1,1,0.2,NaN,NaN,4
53,0.32778,10,1,4,4,0,0,1,1,0.097917,NaN,NaN,5
54,0.40205,10,0,1,1,0,0,2,2,0.05,NaN,NaN,6
55,0.79832,10,1,4,4,0,0,1,1,0.2,NaN,NaN,7
56,0.43852,9,1,2,2,0,0,1,1,0.2,NaN,NaN,8
57,0.71074,10,1,1,1,0,0,2,2,0.2,NaN,NaN,9
58,0.92715,10,1,3,3,0,0,1,1,0.15,NaN,NaN,10
59,0.55732,9,1,4,4,0,0,1,1,0.097917,NaN,NaN,11
60,0.38975,9,0,2,2,0,0,1,1,0.097917,NaN,NaN,12
61,0.47803,10,1,3,3,0,0,1,1,0.12708,NaN,NaN,13
62,0.42629,9,1,2,2,0,0,1,1,0.12708,NaN,NaN,14
63,0.43863,9,1,4,4,0,0,1,1,0.15,NaN,NaN,15
64,0.59892,9,1,1,1,0,0,1,1,0.17083,NaN,NaN,16
65,0.73738,10,0,3,3,0,0,2,2,0.19375,NaN,NaN,1
66,0.55152,9,1,1,1,0,0,1,1,0.12708,NaN,NaN,2
67,0.56374,10,0,2,2,0,0,2,2,0.16272,NaN,NaN,3
68,0.82403,10,1,4,4,0,0,2,2,0.17083,NaN,NaN,4
69,0.56243,9,1,4,4,0,0,2,2,0.075,NaN,NaN,5
70,0.52672,10,1,4,4,0,0,2,2,0.075,NaN,NaN,6
71,0.75292,10,0,4,4,0,0,2,2,0.17083,NaN,NaN,7
72,0.57138,9,1,3,3,0,0,2,2,0.16372,NaN,NaN,8
73,0.55359,10,1,2,2,0,0,2,2,0.2,NaN,NaN,9
74,0.75598,10,0,2,2,0,0,2,2,0.2,NaN,NaN,10
75,0.51425,10,1,3,3,0,0,2,2,0.16372,NaN,NaN,11
76,0.67636,9,0,1,1,0,0,1,1,0.15,NaN,NaN,12
77,1.1386,10,1,2,3,1,0,2,2,0.16372,NaN,NaN,13
78,0.54894,9,1,1,1,0,0,1,1,0.175,NaN,NaN,14
79,0.60539,10,1,1,1,0,0,1,1,0.1125,NaN,NaN,15
80,0.80558,10,1,3,3,0,0,2,2,0.2,NaN,NaN,16
81,0.54595,9,1,2,2,0,0,2,2,0.18542,NaN,NaN,1
82,0.55836,10,0,1,1,0,0,3,3,0.075,NaN,NaN,2
83,0.79449,9,1,1,1,0,0,3,3,0.18542,NaN,NaN,3
84,0.38489,9,1,4,4,0,0,2,2,0.1,NaN,NaN,4
85,0.44913,9,1,4,4,0,0,2,2,0.18542,NaN,NaN,5
86,0.45547,10,1,2,2,0,0,2,2,0.1,NaN,NaN,6
87,0.93585,10,0,2,2,0,0,2,2,0.1,NaN,NaN,7
88,0.93199,9,1,3,3,0,0,2,2,0.15,NaN,NaN,8
89,0.53642,10,0,3,3,0,0,2,2,0.17813,NaN,NaN,9
90,0.64269,10,1,4,4,0,0,2,2,0.18177,NaN,NaN,10
91,0.42297,10,1,4,4,0,0,2,2,0.15,NaN,NaN,11
92,0.90928,10,1,3,1,1,0,2,3,0.15,NaN,NaN,12
93,0.92948,10,1,3,3,0,0,2,2,0.18177,NaN,NaN,13
94,0.95176,10,1,2,2,0,0,2,2,0.18177,NaN,NaN,14
95,1.12,10,1,1,1,0,0,3,3,0.17995,NaN,NaN,15
96,0.41436,10,1,1,1,0,0,3,3,0.125,NaN,NaN,16
97,0.63259,10,0,1,1,0,0,3,3,0.17995,NaN,NaN,1
98,0.62075,10,1,2,2,0,0,3,3,0.1125,NaN,NaN,2
99,0.5792,10,1,1,1,0,0,3,3,0.18095,NaN,NaN,3
100,0.43334,10,1,4,4,0,0,2,2,0.125,NaN,NaN,4
101,0.5997,9,1,2,2,0,0,3,3,0.1125,NaN,NaN,5
102,0.53399,9,1,2,2,0,0,3,3,0.175,NaN,NaN,6
103,0.49221,9,1,1,1,0,0,3,3,0.125,NaN,NaN,7
104,0.60643,10,0,4,4,0,0,2,2,0.1,NaN,NaN,8
105,0.50481,9,0,3,3,0,0,3,3,0.097917,NaN,NaN,9
106,0.4712,10,1,3,3,0,0,3,3,0.175,NaN,NaN,10
107,0.65937,10,1,1,1,0,0,3,3,0.1125,NaN,NaN,11
108,0.59789,9,1,3,3,0,0,3,3,0.10521,NaN,NaN,12
109,0.84404,10,1,4,4,0,0,2,2,0.18095,NaN,NaN,13
110,0.56434,9,1,4,4,0,0,2,2,0.18095,NaN,NaN,14
111,0.75654,10,1,2,2,0,0,3,3,0.1625,NaN,NaN,15
112,0.55495,9,1,3,3,0,0,1,1,0.1625,NaN,NaN,16
